harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_20,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_25
-33.60258891352686,-55.667467022824084,-41.71189552990968,-60.04662983934064,-61.74513201559812,-64.26082311537041,-70.3574103982361,-65.21626196440299,-73.541161358418,-77.2014807321744,,,-72.08639617487587,,-81.06642415059702,-80.51843075395671,,,,,,,,,
-20.431705911517497,-26.7674462974008,-37.35777006416066,-23.578741244554205,-32.63649883604632,-27.520951206878827,-31.113368629677627,-33.749696279078584,-37.52985087845473,-43.45564928315293,-44.478901440233486,-51.25726925490259,-43.48982510920557,-59.60273774198111,-53.65402502122963,-54.333730494302735,-47.70644051742996,-52.54533758478004,-61.33649190009213,-57.6097216350966,-58.70507628316365,-63.85090229945897,-59.328867779130626,-56.44768535542331,-68.03715076836043
-28.99211738498635,-33.2566388449441,-50.33844273886532,-38.71590279962391,-38.739148383689084,-47.72270430862482,-52.43138119996852,-55.045776593761204,-47.80742593380754,-54.16872070185237,-63.84334820950946,-64.94318889170438,-70.93273982354344,-62.731066831757204,-69.92666002314417,-77.54428830240836,-69.62451151898878,-85.08714807133325,-89.58536164524088,-84.26065027837124,-74.05882793950425,-80.98574919018591,-77.48407417929465,-84.9804587024729,-87.17151901615941
-33.90568182615532,-46.86548979102314,-51.13527314994571,-63.09339903739763,-55.399674181274726,-65.2445559139791,-61.87782477316047,-70.05786606107628,-67.2630181852337,-69.36775582731178,-85.13509561230453,-80.84645681736411,-83.8590188303444,-72.92126205288132,-74.7858873924123,,-89.07430170829973,,,,,,,,
-37.09619489910347,-33.61161843917122,-33.631439947219384,-44.3298783678866,-39.959045948084324,-54.510837073731686,-40.62298172754871,-48.75998125670324,-46.08109048494023,-52.8088612799585,-50.920513160874464,-51.471787236773245,-57.19639424064223,-63.904788521888634,-59.238584475483016,-60.36808580817042,-71.21635599353412,-79.21114189469209,-64.80485126956451,-84.23560352592855,-69.72630056219545,-83.51169835843979,-81.96407073693827,-64.40099717770744,-76.08883539587853
-30.01706504054573,-46.19778926054238,-34.098118222616414,-39.25063048934347,-39.5804346721654,-49.69275976144484,-59.87287970211155,-67.48313082406668,-71.4693040494719,-72.79842054834434,-79.24096610151636,-87.53031101479152,-80.38020785266202,-84.41797001150242,,-83.24401257981489,-76.42835952784539,-87.74223838139618,-79.23652874101197,-87.53489166929157,-82.89930507537055,-82.89930507537055,,,-89.65631902939202
-29.09228695018368,-32.53642401033443,-48.17370048080591,-48.87968758080003,-46.082296790494425,-61.08101745233188,-64.77007943815649,-65.19969840976586,-66.5960537436665,-70.79215676136074,-80.00300833959113,-79.98158904035513,-77.5203036134697,-87.48724888703573,-84.56016215987857,-78.7335521991972,-81.69737525773868,-79.21234122009506,,,,,,,
-48.007694856124616,-38.35406149210502,-54.01429311311289,-59.622135650636785,-73.08651976613092,-71.42395582272407,-71.01705130432275,-73.08639822198704,-79.48674670220998,-79.53227813529745,-81.36537986312702,-82.65108642936121,-81.29540279942024,-78.97090042733268,,-82.60210478964673,,,,,,,,,
-33.09981554132756,-44.54526985983146,-50.47791977730334,-62.16737514827131,-67.91618977840335,-72.49517451394782,-73.54378936333852,-72.71142625686716,-80.98124492186999,-86.81854596382195,-88.55406733844228,-88.4987971474219,-89.27592704473214,-89.33009562551045,,,,,,,,,,,
-32.71183280888637,-32.634309940440666,-42.78103323941433,-44.054659248469186,-67.99985534812564,-70.70195032522258,-58.416219075105396,-65.0369632351443,-66.16062003003441,-62.07219564134122,-60.140363951830125,-68.44528427101328,-78.65387244755652,-74.86774782137638,-76.0565911938727,-76.52536422189152,-83.4284705592748,-87.49940109809992,-82.46482102738587,-87.04159891033011,-89.09828266664009,-86.43077439004632,,-89.08889526073168,-89.08889526073168
-73.06849319995207,-76.8270518083358,-66.93775939167891,-68.42384097370112,-65.8261950953436,-83.41719824346836,-75.32555552706799,-77.65732671405783,-78.88901662317932,-88.97444716258512,-89.11256040122977,,,,,,,,,,,,,,
-48.1698249825567,-50.80028694291851,-62.42481366869992,-60.042445191446724,-54.500844308592086,-50.67597368116757,-52.33058844926601,-71.3713401085647,-75.02596346479486,-57.244676956219834,-61.26846364615531,-79.94550571537548,-76.0204458648575,-88.36188142906848,,-80.97306614731748,-81.58910989337944,-81.65502624130592,-83.37695399151613,-85.91404856509696,-85.72702471544793,,-85.7610326403396,,-86.68314759527794
-47.97604446258421,-46.57130757548677,-44.63459572536962,-49.15942804355284,-57.554294635667226,-62.20240225878994,-71.38332228609673,-72.80242923033757,-69.15405841407096,-74.8302647260965,-87.0795054107872,-76.55855943327855,-85.67254084201349,-86.28675623209442,,-82.18302546100193,-86.60110823078445,,,,,,,,
-52.06512681690324,-55.432773738150054,-49.740189413451425,-63.07737172316647,-76.9359728497198,-71.18064163636059,-78.77203081833183,-83.97017762734014,,-85.9220357087513,,-86.08063055532644,,,,,,,,,,,,,
-16.744752732188243,-26.955949302683113,-23.813127160415274,-25.48202868346196,-26.037746524798735,-35.09354696101696,-33.55980839418661,-31.531015624290365,-50.060697010255545,-55.50964414397266,-51.84321167422159,-63.01561954419122,-68.1682738866562,-63.560765123534786,-61.27972333830326,-64.5046948999639,-69.56297857229832,-77.8925408606427,-72.18424752284486,-56.02439688782663,-72.61128519312628,,,,
-39.852091913720756,-50.191650346292434,-57.78235266875108,-59.85334633185367,-51.030502650509916,-45.00714362651897,-53.81934755386683,-64.18130787987207,-64.24925065044535,-66.60116715766256,-62.88491642906941,-60.466068232586736,-64.45342650374701,-78.46246283790983,-88.35604567472924,-82.86298110317847,-74.2176948405381,-83.19267643232148,-76.63570532718346,-81.03005253098469,,-84.39980383167938,-77.41733230503081,-76.6074252619432,-82.92171925266659
-31.581320982168176,-35.39143257099871,-50.021502455207006,-47.78062731278772,-48.456489398825354,-51.34962972826407,-54.88531202671925,-63.67403039042921,-58.67662895498617,-58.42701665760808,-62.674640926480926,-66.9630784392648,-68.24224259983858,-77.92320939112577,-75.33338339638544,-80.18776039803706,-76.75562412530313,-86.04423614416591,-78.69499480378907,-81.60725443409991,-82.70006814605526,-82.41430475505511,-82.49696926604905,,-85.68847389780419
-16.066382902425424,-27.25368267814166,-41.01333669449591,-37.09726484138595,-39.31985229053854,-34.03444703347045,-35.17877997210902,-48.49309117406916,-64.86708238426391,-60.946429133085346,-50.48904679659312,-58.57255053150291,-64.23472843670876,-58.99543409910205,-61.50175118188082,-62.24392697890405,-69.6261199853441,-63.26068693824882,-66.93975648345733,-73.41103669238358,-65.18310469778915,-70.68986569494372,-66.84799136177479,-76.4921660293567,-70.82140717317287
-23.605199416763398,-27.259934763730502,-48.52714658938607,-38.309450902811385,-39.01266951812095,-40.825838275146324,-41.32094304101255,-39.7609663662017,-55.77124104203833,-55.62464891980169,-55.73093120462418,-60.12296873188171,-48.800601386934424,-42.81842935034439,-57.49167091439605,-63.70888086087135,-59.423510177590025,-66.6383667748423,-64.82574662218175,-68.39844374851431,-60.95869926055888,-66.07614790688638,-64.77806967860771,-72.27642008167976,-74.5134188225356
-32.80557859515973,-35.65459894069919,-27.02425841770913,-57.914558306086896,-43.374374543682045,-58.832444028694226,-41.5144205740293,-48.01296791440828,-39.98044594207056,-47.48952985791279,-48.29414269465242,-61.71601778903785,-47.28226812477445,-56.015362119913874,-58.78728590333134,-56.685189360120845,-66.21569217137562,-69.2673527805165,-73.30841260171816,-84.90533203325039,,-82.3928786081192,,,-88.03913480253196
-36.42286295490394,-44.918470685914734,-58.493093507830665,-45.99452471094607,-65.8439125749757,-63.37606393405592,-70.82712306066088,-68.23806525590588,-75.4679269138756,-74.3585033756102,-79.54746672970505,-80.77178820428102,-82.12294891134563,-82.4532003750309,,-84.09033860347185,,-87.36512342282526,,,,,,,
-22.53664174738888,-36.72597194994403,-31.976390879008243,-35.60466992060835,-42.72202039668653,-39.40334038384257,-49.616074218239916,-55.30066522310086,-56.35227227620846,-58.96107056388958,-56.471157163906994,-55.16574585127021,-74.42602444219506,-59.4776719223769,,,,,,,,,,,
-28.90982558115157,-44.540945822458404,-52.282976049866505,-47.064482907264974,-48.52555886656627,-42.379321995845444,-50.509358823900136,-63.81577739434991,-63.264692990513225,-75.48271677841129,-64.97902343636277,-78.61863071571835,-78.99036582468125,-87.03963693337978,-78.43455335411402,-87.23360141712092,-83.46939302824129,-80.04971848567341,-84.23889214967923,-89.68717967403474,-81.79524565319669,-89.32974202127332,-86.0506095865821,,
-45.71647097343224,-52.177077318020615,-56.35605958954109,-50.72422897761424,-54.92363495205187,-53.76557888221026,-62.92344540977166,-71.18696238863477,-62.30987635492628,-71.37415853021943,-66.16659047368888,-70.4503245606411,-76.00391955747952,-81.4368552546295,-80.49606494505555,-88.04404974203014,-86.64703512479325,-79.00584816125594,-85.19777914164723,,,,,,
-31.78630043561884,-39.97605009954491,-56.350429371001496,-57.89384084728569,-53.2602808564984,-60.209874796807505,-52.98273343067613,-59.46621151957274,-63.61458987605003,-57.97336923271853,-88.82504126797369,-80.12465032259733,-73.63633509158294,-81.51561687159582,-84.16970852778591,-83.20807048409681,-84.81538214362851,,-82.33082707949576,-88.16295245024847,-87.20352230092571,,-89.50814859702474,,
-36.67578573412528,-26.412064450497216,-30.841528898073037,-42.808288704507326,-41.314197763227384,-36.03092087574215,-43.07032205000118,-47.96056306997097,-49.82203427974089,-53.60697629474898,-51.677048021850204,-52.2997165604192,-47.06965880099894,-57.52949263275017,-56.6630720857821,-55.50662792508972,-60.994564648386074,-65.7894979243473,-66.77363751169578,-73.22146969170436,-72.43602882388508,-84.11162169166272,-64.61698251931142,-69.37808675016672,-73.12984198787444
-17.935984653794677,-23.762552512656537,-30.762869048893165,-31.477949942170053,-27.8924763332819,-27.146491246205738,-35.72107963044819,-31.55884317794173,-51.47395204333908,-49.563660767058266,-57.57561592658043,-58.18663827223409,-52.304015109253605,-51.009173536358794,-49.040695464979486,-56.57200641894821,-71.8463102162369,-63.535527339572944,-55.024981669682134,-78.39958853528042,-66.68813414402759,-66.68813414402759,,,-66.68813414402759
-25.735628465395123,-37.676734913812716,-32.65210607938866,-40.85371284259265,-41.12439412208359,-52.525010927528236,-34.84693574303661,-55.11590290766148,-54.910874362839756,-41.07942250907672,-53.39239221536594,-51.39883400677062,-48.06336750024991,-61.82314363055602,-63.81921501290935,-64.26226365867846,-59.6282043795578,-70.77667802479016,-72.74213250919091,-75.81724424154692,-77.9276212140563,-87.05942937791987,-70.72232236840725,-83.81215609279143,-79.10080649039469
-53.88218679916299,-55.37424642921179,-46.660709228120155,-39.365149834195684,-57.9267999355994,-51.75400866641267,-71.36974390676849,-60.92134728285379,-77.69325470674747,-68.61548362180442,-86.6749157537394,-81.27598176109665,-75.79743699011676,-78.65349719538064,-80.73505695894731,-74.63516677044953,-77.1287537596795,-86.43974804065122,-85.54861027910543,-81.99863510639577,,,,,
-53.442639905952085,-59.20914170112149,-48.112763561581396,-48.40510197941445,-48.89665006235592,-63.588718665599636,-58.83521642046925,-70.23072152626158,-60.21123990607343,-61.796552301020505,-67.84051042270478,-70.15109232604588,-77.14187114961548,-78.46006585177085,-75.59802126397175,,-82.7370339334223,-80.92886519980648,-89.54483172336386,-86.6077069649043,,,-88.49091235185975,,
-46.39111859703519,-46.93819916444557,-50.07138622366722,-62.642703715193015,-69.45807743168982,-76.33119556056943,-76.01592170548307,-78.34736695214829,-85.16204809297393,-73.01796804286806,-79.2483972950239,,-78.1289138948502,-88.00379408791063,,-78.31774026984175,-79.87267354283256,,-83.54263580007849,,,,,,
-42.42708771220527,-50.39714388741944,-60.361729934780236,-60.696258965879096,-68.15418717648835,-65.55256960992541,-72.23960803269222,-66.39869599848863,-74.0495504825152,-73.8424759134121,-72.28611612588116,-75.68241421140992,-75.32557420184395,-77.07248609654762,-75.5379621695871,-80.92323724678941,-79.21500595935369,-79.34831335433896,-86.3228000034468,,,,,,
-34.0293392971498,-47.95885975713826,-46.96868411843638,-59.099710524756155,-59.54416932799409,-67.41153739751448,-73.43903275608768,-75.68148200446545,-88.5700529934178,-75.62973850026391,-81.17752873124975,-84.01513019776624,,,,-88.80345148627778,,,,,,,,,
-25.888290830513963,-43.44045700593862,-25.67933948855842,-35.464693738917454,-33.35030568490828,-41.523440799812086,-28.33589947176167,-42.9159720043703,-37.36033182999549,-43.18181096633367,-49.56115776188758,-50.61474769093494,-53.97551541659417,-50.48177140271491,-47.33297655166999,-50.85641306334518,-49.47665236022742,-66.79618147071612,-59.976631354569264,-70.99189487709053,-67.82526022992467,-62.88365070329196,-63.99924980579125,-59.51525136592707,-71.31429887438769
-41.506106626435674,-43.40834288222275,-52.662373031780355,-39.42861638698167,-50.743993981784385,-49.280303224295764,-54.79052005417257,-57.27899412529583,-56.169805334546325,-60.83141239592147,-55.136119003621616,-65.24122111962343,-54.94349825324758,-69.57487247640066,-69.10564563156525,-72.28193521184873,-70.19244406684534,-75.6209576953318,-74.10313311712008,-76.18098812506503,-80.35798226118402,-84.96617956700642,-85.15580573040259,-83.70180204283459,-85.14276344464234
-26.746055618145242,-44.292000093142946,-48.589602768738274,-41.877984047368585,-38.45727300356512,-41.50865090025924,-46.53904689034378,-53.993633914257586,-46.19137723368536,-55.261674880291636,-68.72951081541703,-70.88378653160416,-67.0277229930638,-63.609397729658234,-62.91245780662787,-71.90924499465619,-67.19435486529343,-70.79798213752706,-75.59614596328075,-80.92906582433164,-76.57208902572921,-81.0937545104187,,-78.77166666296775,-76.44119381285574
-29.856134195093887,-36.6188593821564,-41.27913480736771,-35.40189749427032,-52.35272134903803,-50.10433501765244,-59.44527857346707,-63.88228237833084,-60.664825774173224,-57.067780773438805,-59.070167347990726,-52.80441190447705,-69.13822774510157,-62.98866471217782,-82.01681032234931,-81.32336241229257,-67.2580212123129,-69.41672482934581,-78.5567051645915,-74.58231358011581,-78.05837013965998,-86.93016639704548,-83.66957900434751,-78.3701739937237,-84.03506510569662
-27.672459744198175,-45.87489444666618,-51.853026636058836,-54.76898437127374,-65.78923478193101,-47.999344181964446,-55.25808151326029,-57.19754170012393,-57.44167621358351,-74.94560517414352,-77.61592306937486,-79.41484477057455,-79.72511193862611,-73.7847550445373,-73.33679840321072,-80.25503023971814,-82.00950680190972,-80.80813006266595,-86.45976841582184,-82.02155137570846,-84.19376736996955,-88.28406885527082,-76.55926796865818,-89.70052393893147,-80.47175641433945
